id,title,description,availability,condition,price,link,image_link,brand,google_product_category,fb_product_category,quantity_to_sell_on_facebook,sale_price,sale_price_effective_date,item_group_id,gender,color,size,age_group,material,pattern,shipping,shipping_weight,video_url,video_tag,gtin,product_tags1,product_tags2,style
681,Метален свещник с 5 глави,Метален свещник с 5 глави,in stock,new,57.2 BGN,https://www.obichaite-se.com/produkt/metalen-sveshnik-s-5-glavi,https://media.obichaite-se.com/fde25d81-c70b-4fd7-9b49-d90e90534c9e.webp,obichaite-se,,,100,52.9 BGN,,,,,,,,,,,,,20843007,,,
680,Позлатен свещник с 3 рамена,Позлатен свещник с 3 рамена,in stock,new,60.2 BGN,https://www.obichaite-se.com/produkt/pozlaten-sveshnik-c-3-ramena,https://media.obichaite-se.com/8133_s.webp,obichaite-se,,,100,,,,,,,,,,,,,,20843006,,,
679,Метален свещник черен,Метален свещник черен (ширина / височина / дълбочина) 8x29x8 см,in stock,new,22.9 BGN,https://www.obichaite-se.com/produkt/metalen-sveshnik-cheren,https://media.obichaite-se.com/IMG_3384-1.PNG,obichaite-se,,,100,,,,,,,,,,,,,,20843005,,,
678,Комплект свещ с венец от цветя и аромат на праскова,Комплект свещ с венец от цветя и аромат на праскова в екрю цвят 10x10x7 см,in stock,new,6 BGN,https://www.obichaite-se.com/produkt/komplekt-svwsh-praskova,https://media.obichaite-se.com/20843003-1.jpg,obichaite-se,,,100,,,,,,,,,,,,,,20843003,,,
677,Комплект свещ с венец от цветя и аромат на лавандула,Комплект свещ с венец от цветя и аромат на лавандула в лилав цвят 10x10x7 см,in stock,new,6 BGN,https://www.obichaite-se.com/produkt/komplekt-svwsh-lavandula,https://media.obichaite-se.com/20843002-1.jpg,obichaite-se,,,100,,,,,,,,,,,,,,20843002,,,
676,Стенен часовник "Прибори",Стенен часовник "Прибори",in stock,new,16.8 BGN,https://www.obichaite-se.com/produkt/stenen-chasovnik-pribori,https://media.obichaite-se.com/87283-3.webp,obichaite-se,,,100,,,,,,,,,,,,,,20843809,,,
675,Стенен часовник "Прибори",Стенен часовник "Прибори",in stock,new,16.8 BGN,https://www.obichaite-se.com/produkt/stenen-chasovnik--pribori,https://media.obichaite-se.com/87283-2.webp,obichaite-se,,,100,,,,,,,,,,,,,,20843810,,,
674,Стенен часовник "Чаша - Coffee",Стенен часовник "Чаша - Coffee". Размер на часовника - 28 см. х 28 см. х 4.5 см. Цената е за 1 брой.,in stock,new,18.9 BGN,https://www.obichaite-se.com/produkt/stenen-chasovnik--coffee,https://media.obichaite-se.com/87287-3.webp,obichaite-se,,,100,,,,,,,,,,,,,,20843808,,,
673,Стенен часовник "Чаша - Coffee",Стенен часовник "Чаша - Coffee". Размер на часовника - 28 см. х 28 см. х 4.5 см. Цената е за 1 брой.,in stock,new,18.9 BGN,https://www.obichaite-se.com/produkt/stenen-chasovnik-coffee,https://media.obichaite-se.com/87287-2.webp,obichaite-se,,,100,,,,,,,,,,,,,,20843807,,,
672,Луксозен часовник - пано '"Пера",Луксозен часовник - пано '"Пера" /с акрилно покритие/. Размер на часовника - 39 см. х 385 см. х 1 см. Цената е за 1 брой,in stock,new,37.1 BGN,https://www.obichaite-se.com/produkt/luksozen-chasovnik-pano--pera,https://media.obichaite-se.com/20843800.webp,obichaite-se,,,100,,,,,,,,,,,,,,20843800,,,
671,Луксозен часовник - пано '"Пеперуди",Луксозен часовник - пано '"Пеперуди" /с акрилно покритие/. Размер на часовника - 58 см. х 36 см. х 1 см. Цената е за 1 брой,in stock,new,37.1 BGN,https://www.obichaite-se.com/produkt/luksozen-chasovnik-pano--peperudi,https://media.obichaite-se.com/20843801.webp,obichaite-se,,,100,,,,,,,,,,,,,,20843801,,,
670,Луксозен часовник - пано /стъкло/,Луксозен часовник - пано /стъкло/. Размер на часовника - 59 см. х 29 см. х 25 см. Цената е за 1 брой.,in stock,new,43.4 BGN,https://www.obichaite-se.com/produkt/luksozen-chasovnik-pano--styklo,https://media.obichaite-se.com/20843802.webp,obichaite-se,,,100,,,,,,,,,,,,,,20843802,,,
668,Кристална нощна лампа LED,Кристална нощна лампа LED,in stock,new,20.7 BGN,https://www.obichaite-se.com/produkt/kristalna-noshta-lampa-led,https://media.obichaite-se.com/20842412.webp,obichaite-se,,,100,,,,,,,,,,,,,,20842412,,,
667,Звезден проектор нощна лампа със звездно небе,Звезден проектор нощна лампа със звездно небе,in stock,new,25.9 BGN,https://www.obichaite-se.com/produkt/zvezden-proektor--nebe,https://media.obichaite-se.com/20842411.webp,obichaite-se,,,100,,,,,,,,,,,,,,20842411,,,
